Winner,First Pick,Second Pick,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,Ban 7,Ban 8,Pick 1,Pick 2,Pick 3,Pick 4,Ban 9,Ban 10,Pick 5,Pick 6,Pick 7,Pick 8,Ban 11,Ban 12,Pick 9,Pick 10
FlyToMoon 2.0,Aggressive Mode,FlyToMoon 2.0,queen-of-pain,ember-spirit,timbersaw,natures-prophet,void-spirit,phoenix,clockwerk,chen,earth-spirit,oracle,monkey-king,shadow-demon,mars,lycan,bounty-hunter,necrophos,enchantress,troll-warlord,puck,razor,pangolier,invoker
Aggressive Mode,FlyToMoon 2.0,Aggressive Mode,dragon-knight,monkey-king,mars,queen-of-pain,natures-prophet,keeper-of-the-light,chen,void-spirit,ember-spirit,enchantress,beastmaster,witch-doctor,grimstroke,tusk,enigma,bounty-hunter,necrophos,batrider,invoker,lycan,shadow-fiend,naga-siren
Aggressive Mode,FlyToMoon 2.0,Aggressive Mode,dragon-knight,invoker,mars,void-spirit,chen,oracle,natures-prophet,monkey-king,ember-spirit,queen-of-pain,enchantress,keeper-of-the-light,beastmaster,rubick,earthshaker,clockwerk,lycan,puck,timbersaw,necrophos,underlord,riki
Team Empire Hope,Team Empire Hope,KHAN,dragon-knight,lycan,bristleback,ember-spirit,chen,riki,phoenix,timbersaw,tusk,keeper-of-the-light,pangolier,weaver,troll-warlord,grimstroke,rubick,dark-willow,spectre,shadow-fiend,morphling,broodmother,underlord,kunkka
Team Empire Hope,Team Empire Hope,KHAN,dragon-knight,lycan,bristleback,timbersaw,chen,ember-spirit,phoenix,riki,tusk,weaver,grimstroke,rubick,lich,shadow-fiend,pangolier,bloodseeker,pugna,morphling,centaur-warrunner,broodmother,underlord,outworld-devourer
Nemiga Gaming,Winstrike Team,Nemiga Gaming,bristleback,lycan,dragon-knight,bounty-hunter,timbersaw,grimstroke,riki,batrider,ember-spirit,void-spirit,shadow-demon,keeper-of-the-light,morphling,mars,enchantress,tiny,juggernaut,weaver,shadow-fiend,meepo,natures-prophet,puck
Nemiga Gaming,Winstrike Team,Nemiga Gaming,dragon-knight,lycan,bristleback,bounty-hunter,timbersaw,grimstroke,keeper-of-the-light,batrider,chen,void-spirit,enchantress,tusk,meepo,ember-spirit,earthshaker,pangolier,bloodseeker,morphling,shadow-fiend,puck,storm-spirit,queen-of-pain
KHAN,Winstrike Team,KHAN,pangolier,lycan,pugna,keeper-of-the-light,ember-spirit,bounty-hunter,phoenix,bristleback,chen,timbersaw,tusk,earth-spirit,weaver,necrophos,dragon-knight,witch-doctor,ancient-apparition,outworld-devourer,ursa,broodmother,monkey-king,medusa
KHAN,Winstrike Team,KHAN,pangolier,lycan,pugna,bounty-hunter,timbersaw,bristleback,phoenix,keeper-of-the-light,tusk,dragon-knight,grimstroke,weaver,ember-spirit,shadow-fiend,rubick,shadow-demon,riki,medusa,centaur-warrunner,broodmother,beastmaster,razor
Nemiga Gaming,Nemiga Gaming,Team Empire Hope,lycan,bristleback,ember-spirit,phoenix,weaver,chen,timbersaw,enchantress,dragon-knight,tusk,beastmaster,jakiro,grimstroke,huskar,rubick,shadow-demon,riki,phantom-lancer,death-prophet,queen-of-pain,batrider,slark
Nemiga Gaming,Nemiga Gaming,Team Empire Hope,lycan,bristleback,timbersaw,phoenix,ember-spirit,chen,weaver,shadow-demon,dragon-knight,riki,grimstroke,enchantress,tusk,batrider,witch-doctor,clockwerk,underlord,bloodseeker,queen-of-pain,templar-assassin,shadow-fiend,kunkka
EXTREMUM,Aggressive Mode,EXTREMUM,rubick,keeper-of-the-light,mars,chen,dragon-knight,natures-prophet,earthshaker,timbersaw,shadow-demon,pangolier,enigma,beastmaster,enchantress,ember-spirit,bane,clockwerk,phantom-lancer,shadow-fiend,alchemist,queen-of-pain,leshrac,visage
Aggressive Mode,Aggressive Mode,EXTREMUM,shadow-demon,chen,pangolier,keeper-of-the-light,mars,timbersaw,zeus,beastmaster,crystal-maiden,oracle,troll-warlord,natures-prophet,dragon-knight,razor,tusk,phoenix,dark-seer,lycan,axe,ember-spirit,centaur-warrunner,broodmother
EXTREMUM,Aggressive Mode,EXTREMUM,rubick,keeper-of-the-light,mars,chen,dragon-knight,natures-prophet,earthshaker,timbersaw,shadow-demon,pangolier,enigma,beastmaster,enchantress,ember-spirit,bane,clockwerk,phantom-lancer,shadow-fiend,alchemist,queen-of-pain,leshrac,visage
Aggressive Mode,Aggressive Mode,EXTREMUM,shadow-demon,chen,pangolier,keeper-of-the-light,mars,timbersaw,zeus,beastmaster,crystal-maiden,oracle,troll-warlord,natures-prophet,dragon-knight,razor,tusk,phoenix,dark-seer,lycan,axe,ember-spirit,centaur-warrunner,broodmother
Team Empire Hope,Winstrike Team,Team Empire Hope,timbersaw,bristleback,beastmaster,phoenix,pangolier,grimstroke,riki,keeper-of-the-light,ember-spirit,tusk,lycan,natures-prophet,batrider,troll-warlord,rubick,bounty-hunter,underlord,tidehunter,medusa,queen-of-pain,monkey-king,morphling
Team Empire Hope,Winstrike Team,Team Empire Hope,timbersaw,bristleback,pangolier,phoenix,beastmaster,grimstroke,lycan,keeper-of-the-light,tusk,riki,jakiro,batrider,rubick,troll-warlord,dark-willow,bounty-hunter,abaddon,oracle,shadow-fiend,broodmother,leshrac,queen-of-pain
FlyToMoon 2.0,FlyToMoon 2.0,EXTREMUM,death-prophet,medusa,lycan,leshrac,shadow-demon,chaos-knight,pugna,razor,keeper-of-the-light,lich,bounty-hunter,ember-spirit,grimstroke,phantom-lancer,tusk,chen,natures-prophet,naga-siren,beastmaster,necrophos,mars,storm-spirit
EXTREMUM,FlyToMoon 2.0,EXTREMUM,death-prophet,keeper-of-the-light,lycan,chen,natures-prophet,timbersaw,pugna,medusa,phoenix,pangolier,rubick,mars,alchemist,bloodseeker,undying,bane,gyrocopter,phantom-lancer,lina,dragon-knight,queen-of-pain,puck
EXTREMUM,FlyToMoon 2.0,EXTREMUM,death-prophet,keeper-of-the-light,pangolier,chen,lycan,timbersaw,pugna,medusa,phoenix,mars,rubick,undying,alchemist,naga-siren,dazzle,phantom-lancer,riki,treant-protector,lina,broodmother,invoker,kunkka
KHAN,KHAN,Nemiga Gaming,bristleback,ember-spirit,timbersaw,phoenix,riki,pangolier,void-spirit,grimstroke,pugna,centaur-warrunner,chen,dragon-knight,shadow-demon,death-prophet,tusk,mirana,weaver,alchemist,mars,huskar,queen-of-pain,necrophos
Nemiga Gaming,Nemiga Gaming,KHAN,ember-spirit,chen,pangolier,keeper-of-the-light,snapfire,phoenix,pugna,tusk,bristleback,timbersaw,batrider,oracle,slark,earthshaker,earth-spirit,nyx-assassin,lycan,monkey-king,huskar,alchemist,axe,razor
Nemiga Gaming,KHAN,Nemiga Gaming,bristleback,ember-spirit,riki,pangolier,timbersaw,chen,void-spirit,phoenix,pugna,shadow-demon,centaur-warrunner,beastmaster,enchantress,grimstroke,jakiro,snapfire,dragon-knight,slark,razor,huskar,queen-of-pain,lycan
Nemiga Gaming,Veni Vidi VICI,Nemiga Gaming,shadow-demon,tusk,riki,undying,phoenix,ember-spirit,chen,void-spirit,centaur-warrunner,keeper-of-the-light,bristleback,snapfire,batrider,broodmother,earthshaker,pugna,death-prophet,ursa,viper,beastmaster,kunkka,dazzle
Nemiga Gaming,Nemiga Gaming,Veni Vidi VICI,undying,chen,snapfire,keeper-of-the-light,phoenix,bristleback,batrider,death-prophet,tusk,centaur-warrunner,shadow-demon,enchantress,riki,timbersaw,grimstroke,lycan,ember-spirit,shadow-fiend,underlord,phantom-lancer,legion-commander,alchemist
F.R.I.E.N.D.S,F.R.I.E.N.D.S,Nemiga Gaming,batrider,death-prophet,snapfire,phoenix,centaur-warrunner,lycan,rubick,pangolier,keeper-of-the-light,pugna,ember-spirit,legion-commander,mars,bristleback,grimstroke,bane,void-spirit,riki,broodmother,templar-assassin,shadow-fiend,wraith-king
Nemiga Gaming,F.R.I.E.N.D.S,Nemiga Gaming,centaur-warrunner,ember-spirit,snapfire,phoenix,chen,riki,timbersaw,lycan,keeper-of-the-light,legion-commander,shadow-demon,wraith-king,phantom-lancer,shadow-fiend,jakiro,death-prophet,bristleback,tusk,broodmother,necrophos,pangolier,queen-of-pain
Nemiga Gaming,F.R.I.E.N.D.S,Nemiga Gaming,chen,shadow-fiend,keeper-of-the-light,lycan,snapfire,phoenix,timbersaw,grimstroke,lich,centaur-warrunner,shadow-demon,rubick,phantom-lancer,underlord,riki,wraith-king,enchantress,bounty-hunter,broodmother,necrophos,natures-prophet,kunkka
FlyToMoon 2.0,FlyToMoon 2.0,Veni Vidi VICI,tusk,chen,broodmother,keeper-of-the-light,mars,phoenix,timbersaw,centaur-warrunner,pugna,void-spirit,rubick,dragon-knight,ember-spirit,lycan,undying,bane,death-prophet,medusa,beastmaster,slark,natures-prophet,anti-mage
FlyToMoon 2.0,Veni Vidi VICI,FlyToMoon 2.0,batrider,keeper-of-the-light,dragon-knight,timbersaw,phoenix,broodmother,chen,tusk,centaur-warrunner,pugna,ember-spirit,rubick,natures-prophet,phantom-lancer,undying,grimstroke,mars,morphling,storm-spirit,slark,pangolier,invoker
Team Secret,Nigma,Team Secret,lone-druid,phoenix,void-spirit,natures-prophet,lycan,batrider,kunkka,beastmaster,ember-spirit,puck,pangolier,grimstroke,necrophos,riki,earthshaker,io,luna,bristleback,viper,meepo,gyrocopter,morphling
Team Secret,Nigma,Team Secret,lone-druid,batrider,lycan,beastmaster,luna,natures-prophet,kunkka,io,phoenix,weaver,void-spirit,windranger,morphling,bounty-hunter,queen-of-pain,dragon-knight,bloodseeker,death-prophet,ember-spirit,legion-commander,ursa,drow-ranger
