Winner, First Pick, Second Pick, Ban 1, Ban 2, Ban 3, Ban 4, Ban 5, Ban 6, Pick 1, Pick 2, Pick 3, Pick 4, Ban 7, Ban 8, Ban 9, Ban 10, Pick 5, Pick 6, Pick 7, Pick 8, Ban 11, Ban 12, Pick 9, Pick 10
Winstrike,FlyToMoon,Winstrike Team,rubick,oracle,batrider,lycan,shadow-demon,natures-prophet,queen-of-pain,ember-spirit,phoenix,ogre-magi,mirana,dragon-knight,luna,bane,earthshaker,grimstroke,death-prophet,beastmaster,phantom-lancer,troll-warlord,medusa,morphling,
Winstrike,FlyToMoon,Winstrike Team,winter-wyvern,phoenix,grimstroke,batrider,rubick,queen-of-pain,bristleback,lycan,natures-prophet,void-spirit,enchantress,luna,underlord,earthshaker,shadow-demon,abaddon,monkey-king,vengeful-spirit,storm-spirit,timbersaw,lone-druid,broodmother,
FTM,FlyToMoon,Team Unique,phoenix,natures-prophet,batrider,enchantress,death-prophet,chen,dragon-knight,lycan,queen-of-pain,ember-spirit,rubick,luna,undying,treant-protector,bane,earth-spirit,beastmaster,timbersaw,oracle,slark,witch-doctor,morphling,
FTM,FlyToMoon,Team Unique,batrider,natures-prophet,dragon-knight,enchantress,ember-spirit,lycan,death-prophet,chen,queen-of-pain,phoenix,mars,earth-spirit,morphling,lifestealer,bane,witch-doctor,luna,gyrocopter,beastmaster,templar-assassin,kunkka,viper,
HR,HellRaisers,FlyToMoon 2.0,natures-prophet,shadow-demon,rubick,batrider,phoenix,lycan,ember-spirit,pangolier,weaver,dragon-knight,vengeful-spirit,witch-doctor,medusa,timbersaw,grimstroke,void-spirit,riki,slardar,monkey-king,templar-assassin,spectre,beastmaster,
HR,HellRaisers,FlyToMoon 2.0,lycan,phoenix,oracle,rubick,weaver,ember-spirit,batrider,chen,queen-of-pain,grimstroke,dragon-knight,clockwerk,natures-prophet,witch-doctor,disruptor,visage,void-spirit,spectre,warlock,terrorblade,kunkka,anti-mage,
HR,Team Empire Hope,HellRaisers,natures-prophet,shadow-demon,beastmaster,batrider,enchantress,lycan,ember-spirit,oracle,rubick,dragon-knight,queen-of-pain,grimstroke,dark-willow,void-spirit,witch-doctor,pangolier,nyx-assassin,kunkka,slark,timbersaw,phantom-lancer,lifestealer,
EmpireH,Team Empire Hope,HellRaisers,natures-prophet,shadow-demon,beastmaster,batrider,enchantress,lycan,ember-spirit,rubick,grimstroke,dragon-knight,oracle,pangolier,dark-willow,slark,mirana,timbersaw,death-prophet,morphling,void-spirit,ursa,queen-of-pain,luna,
EmpireH,Team Empire Hope,HellRaisers,natures-prophet,shadow-demon,beastmaster,batrider,ember-spirit,lycan,dragon-knight,rubick,enchantress,queen-of-pain,grimstroke,earthshaker,witch-doctor,morphling,clockwerk,void-spirit,troll-warlord,pugna,medusa,puck,phantom-lancer,underlord,
Unique,HellRaisers,Team Unique,lycan,death-prophet,batrider,natures-prophet,grimstroke,queen-of-pain,weaver,witch-doctor,enchantress,shadow-demon,void-spirit,earth-spirit,morphling,luna,ember-spirit,gyrocopter,keeper-of-the-light,timbersaw,invoker,razor,dragon-knight,ursa,
Unique,HellRaisers,Team Unique,death-prophet,lycan,queen-of-pain,batrider,natures-prophet,timbersaw,ember-spirit,weaver,witch-doctor,enchantress,earth-spirit,earthshaker,luna,morphling,gyrocopter,dragon-knight,kunkka,ursa,invoker,enigma,mars,razor,
FTM,FlyToMoon,FlyToMoon 2.0,bane,phoenix,dragon-knight,batrider,lycan,queen-of-pain,chen,ember-spirit,rubick,natures-prophet,enchantress,pangolier,bloodseeker,morphling,earthshaker,undying,spectre,phantom-lancer,kunkka,leshrac,storm-spirit,puck,
FTM,FlyToMoon,FlyToMoon 2.0,oracle,rubick,lycan,natures-prophet,dragon-knight,ember-spirit,queen-of-pain,bane,phoenix,snapfire,batrider,weaver,death-prophet,lifestealer,ogre-magi,treant-protector,luna,legion-commander,storm-spirit,templar-assassin,zeus,pudge,
FTM,Team Empire Hope,FlyToMoon,phoenix,ember-spirit,batrider,oracle,chen,beastmaster,death-prophet,lycan,rubick,queen-of-pain,shadow-demon,natures-prophet,timbersaw,riki,undying,ogre-magi,dragon-knight,slark,storm-spirit,necrophos,centaur-warrunner,phantom-lancer,
FTM,Team Empire Hope,FlyToMoon,oracle,shadow-demon,riki,phoenix,natures-prophet,batrider,dragon-knight,ember-spirit,queen-of-pain,beastmaster,chen,winter-wyvern,lycan,kunkka,pangolier,rubick,templar-assassin,death-prophet,phantom-lancer,luna,morphling,drow-ranger,
Unique,Winstrike Team,Team Unique,phoenix,treant-protector,ember-spirit,witch-doctor,lycan,death-prophet,beastmaster,earth-spirit,natures-prophet,void-spirit,shadow-demon,enchantress,templar-assassin,batrider,grimstroke,rubick,monkey-king,luna,dragon-knight,timbersaw,kunkka,storm-spirit,
Unique,Winstrike Team,Team Unique,treant-protector,phoenix,luna,ember-spirit,death-prophet,natures-prophet,queen-of-pain,lycan,oracle,enchantress,earth-spirit,clockwerk,riki,monkey-king,gyrocopter,mars,timbersaw,morphling,shadow-fiend,templar-assassin,invoker,dragon-knight,
Unique,KHAN,Team Unique,phoenix,natures-prophet,lycan,enchantress,shadow-demon,timbersaw,queen-of-pain,death-prophet,treant-protector,beastmaster,witch-doctor,jakiro,clockwerk,phantom-lancer,grimstroke,kunkka,slark,luna,razor,bristleback,invoker,puck,
Unique,KHAN,Team Unique,lycan,enchantress,phoenix,natures-prophet,queen-of-pain,timbersaw,beastmaster,treant-protector,witch-doctor,grimstroke,ember-spirit,death-prophet,shadow-demon,kunkka,rubick,earth-spirit,mars,luna,razor,gyrocopter,dragon-knight,terrorblade,
VP,Virtus.pro,HellRaisers,batrider,techies,rubick,ember-spirit,void-spirit,earthshaker,dragon-knight,death-prophet,shadow-demon,oracle,weaver,axe,spectre,phoenix,pangolier,silencer,lycan,phantom-lancer,bristleback,puck,storm-spirit,leshrac,
VP,Virtus.pro,HellRaisers,techies,shadow-demon,phoenix,lycan,rubick,keeper-of-the-light,ember-spirit,void-spirit,earthshaker,natures-prophet,vengeful-spirit,grimstroke,luna,phantom-lancer,abaddon,timbersaw,doom,kunkka,slark,batrider,terrorblade,morphling,
VP,Virtus.pro,Winstrike Team,techies,oracle,dragon-knight,phoenix,batrider,natures-prophet,shadow-demon,lycan,ember-spirit,enchantress,earthshaker,bounty-hunter,luna,grimstroke,lina,warlock,ursa,spectre,dark-seer,timbersaw,sand-king,pangolier,
Winstrike,Virtus.pro,Winstrike Team,techies,shadow-demon,dragon-knight,lycan,pangolier,natures-prophet,batrider,oracle,ember-spirit,enchantress,earthshaker,phoenix,luna,grimstroke,mirana,bane,ursa,mars,weaver,razor,phantom-assassin,shadow-shaman,
Winstrike,Virtus.pro,Winstrike Team,techies,shadow-demon,dragon-knight,ember-spirit,pangolier,natures-prophet,batrider,lycan,phoenix,ogre-magi,beastmaster,enchantress,luna,phantom-lancer,gyrocopter,mars,shadow-shaman,phantom-assassin,queen-of-pain,broodmother,invoker,enigma,
Winstrike,Team Empire Hope,Winstrike Team,timbersaw,keeper-of-the-light,beastmaster,lycan,enchantress,treant-protector,oracle,shadow-demon,ember-spirit,dragon-knight,grimstroke,earthshaker,morphling,medusa,rubick,witch-doctor,natures-prophet,spectre,necrophos,queen-of-pain,venomancer,anti-mage,
EmpireH,Team Empire Hope,Winstrike Team,lycan,beastmaster,treant-protector,timbersaw,oracle,enchantress,bounty-hunter,ember-spirit,natures-prophet,dragon-knight,witch-doctor,phoenix,medusa,riki,earthshaker,clockwerk,vengeful-spirit,troll-warlord,invoker,razor,batrider,queen-of-pain,
Winstrike,Team Empire Hope,Winstrike Team,beastmaster,keeper-of-the-light,timbersaw,lycan,batrider,ember-spirit,dragon-knight,natures-prophet,shadow-demon,phoenix,pangolier,bane,oracle,queen-of-pain,clockwerk,centaur-warrunner,morphling,spectre,storm-spirit,broodmother,invoker,troll-warlord,
